pincode,code,type,type_encode,rent_per_sqft
110002,N33,Branch,1,83.13
110017,S01,Branch,1,149.41
110020,S13,Branch,1,40.482
110025,S17,Branch,1,98.28999999999999
110028,N03,Branch,1,72.93
110037,N05,Hub,0,36.4
110037,S03,Branch,1,95.195
110042,N17,Branch,1,85.11
110052,N09,Branch,1,118.57
110055,N10,Branch,1,101.63
110074,S26,Branch,1,69.11
110078,S09,Branch,1,46.19
110087,N11,Branch,1,61.086666666666666
110092,N02,Branch,1,52.55
110095,N15,Branch,1,60.61
121001,S02,Branch,1,43.77
121004,S27,Branch,1,34.23
122001,L04,Hub,0,44.912
122001,L14,Branch,1,33.8
122002,L02,Branch,1,93.478
122018,L27,Branch,1,63.28
122050,L24,Hub,0,17.53
122107,L28,Branch,1,11.03
123106,L05,Branch,1,12.41
123501,Q34,Branch,1,17.905
124001,J25,Branch,1,25.01
124507,J37,Branch,1,25.91
125001,J07,Branch,1,41.2
125050,J36,Branch,1,27.08
131028,J26,Branch,1,23.19
132001,J15,Branch,1,58.52
132103,J04,Branch,1,30.95
134003,J10,Hub,0,15.0
134113,J29,Hub,0,38.59
135001,J50,Branch,1,76.75
140124,J19,Branch,1,43.79
140301,J54,Branch,1,37.88
140401,J16,Branch,1,31.835
141003,J03,Branch,1,44.47
142001,J48,Branch,1,68.26
143001,J05,Branch,1,44.1
144001,J02,Branch,1,26.25
144401,J17,Branch,1,41.35
145001,J11,Branch,1,33.56
147001,J18,Branch,1,42.54
151001,J08,Branch,1,29.56
160002,J01,Branch,1,78.75
160055,J21,Branch,1,37.54
171003,J14,Branch,1,92.55
173205,J33,Branch,1,30.07
173212,J39,Branch,1,42.0
180001,N37,Branch,1,31.42
190001,N38,Branch,1,66.225
201002,U11,Hub,0,22.582
201007,U30,Branch,1,30.63
201301,N30,Branch,1,44.2
201304,N31,Branch,1,27.56
201305,N42,Branch,1,83.33
201306,N32,Branch,1,29.51
201308,N35,Branch,1,26.25
202001,U16,Branch,1,23.28
203001,U145,Branch,1,25.65
206122,U83,Branch,1,7.24
208011,U40,Branch,1,25.03
208021,U03,Branch,1,20.32
209726,U141,Branch,1,51.45
211001,U02,Branch,1,45.94
221010,U130,Branch,1,22.5
221011,U04,Branch,1,17.73
224001,U26,Branch,1,45.8
225001,U135,Branch,1,25.01
226002,U43,Hub,0,19.95
226002,U139,Branch,1,19.0
226006,U48,Branch,1,83.38
226010,U143,Branch,1,30.07
228001,U78,Branch,1,38.18
241001,U95,Branch,1,40.52
243502,U15,Branch,1,25.43
244001,U14,Branch,1,33.92
244713,U27,Branch,1,17.2
246701,U31,Branch,1,36.75
247001,U20,Branch,1,41.5
247667,U22,Branch,1,25.875
248001,U10,Branch,1,57.43
248011,U28,Branch,1,43.35
249201,U17,Branch,1,49.5
249402,U18,Branch,1,26.74
250002,U13,Branch,1,44.1
262701,U140,Branch,1,13.78
263139,U12,Branch,1,22.05
263153,U23,Branch,1,13.37
271002,U45,Branch,1,37.89
272001,U142,Branch,1,22.97
273016,U06,Branch,1,63.0
276001,U133,Branch,1,55.84
281004,U25,Branch,1,40.0
282007,U09,Branch,1,52.9
284003,U24,Branch,1,33.08
285001,U110,Branch,1,9.96
301001,Q07,Branch,1,41.33
301019,Q11,Branch,1,19.43
301705,Q44,Branch,1,36.91
302013,Q35,Branch,1,31.24
302016,Q01,Branch,1,34.91
302020,Q05,Hub,0,19.72
302020,Q17,Branch,1,22.9
303007,Q41,Branch,1,15.75
303103,Q43,Branch,1,15.35
305001,Q09,Branch,1,56.99
306401,Q10,Branch,1,24.285
311001,Q12,Branch,1,20.83
313001,Q04,Branch,1,45.8
321001,Q40,Branch,1,19.6
332001,Q16,Branch,1,92.35
334001,Q14,Branch,1,7.42
335001,Q13,Branch,1,21.61
342005,Q02,Branch,1,28.69
360002,A03,Branch,1,31.74
380008,A11,Branch,1,43.76
380009,A24,Branch,1,54.21
